127.0.0.1 - - [18/May/2019:12:29:38 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [18/May/2019:12:29:43 +0530] "GET /Spring_MVC_Overview/ HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [18/May/2019:12:29:46 +0530] "GET /Spring_MVC_Overview/athlete/displayForm HTTP/1.1" 200 536
0:0:0:0:0:0:0:1 - - [18/May/2019:12:30:23 +0530] "POST /Spring_MVC_Overview/athlete/registerAthlete HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [18/May/2019:12:31:55 +0530] "POST /Spring_MVC_Overview/athlete/registerAthlete HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [18/May/2019:12:32:15 +0530] "POST /Spring_MVC_Overview/athlete/registerAthlete HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [18/May/2019:12:35:01 +0530] "GET /Spring_MVC_Overview/ HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [18/May/2019:12:35:01 +0530] "GET /Spring_MVC_Overview/ HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [18/May/2019:12:35:03 +0530] "GET /Spring_MVC_Overview/athlete/displayForm HTTP/1.1" 500 5809
0:0:0:0:0:0:0:1 - - [18/May/2019:12:36:43 +0530] "GET /Spring_MVC_Overview/ HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [18/May/2019:12:36:45 +0530] "GET /Spring_MVC_Overview/ HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [18/May/2019:12:36:46 +0530] "GET /Spring_MVC_Overview/athlete/displayForm HTTP/1.1" 500 5809
0:0:0:0:0:0:0:1 - - [18/May/2019:12:36:57 +0530] "GET /Spring_MVC_Overview/ HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [18/May/2019:12:36:59 +0530] "GET /Spring_MVC_Overview/athlete/displayForm HTTP/1.1" 500 5809
0:0:0:0:0:0:0:1 - - [18/May/2019:12:43:31 +0530] "GET /Spring_MVC_Overview/ HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [18/May/2019:12:43:33 +0530] "GET /Spring_MVC_Overview/ HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [18/May/2019:12:43:34 +0530] "GET /Spring_MVC_Overview/ HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [18/May/2019:12:43:34 +0530] "GET /Spring_MVC_Overview/ HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [18/May/2019:12:43:34 +0530] "GET /Spring_MVC_Overview/ HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [18/May/2019:12:43:34 +0530] "GET /Spring_MVC_Overview/ HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [18/May/2019:12:43:35 +0530] "GET /Spring_MVC_Overview/ HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [18/May/2019:12:43:35 +0530] "GET /Spring_MVC_Overview/ HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [18/May/2019:12:43:37 +0530] "GET /Spring_MVC_Overview/athlete/displayForm HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [18/May/2019:12:44:13 +0530] "POST /Spring_MVC_Overview/athlete/registerAthlete HTTP/1.1" 200 220
